epoch,train_loss,train_species_loss,train_domain_loss,train_species_accuracy,train_domain_accuracy,val_loss,val_species_loss,val_domain_loss,val_species_accuracy,val_species_balanced_accuracy,val_domain_accuracy,val_domain_balanced_accuracy,lr
1,0.654283,0.640794,0.013488,0.760853,0.995895,0.425376,0.420475,0.004901,0.843885,0.754309,0.99823,0.598899,0.001
2,0.473645,0.467882,0.005762,0.823541,0.99788,0.368706,0.364727,0.003979,0.865185,0.772315,0.998165,0.599316,0.001
3,0.430276,0.425116,0.00516,0.841482,0.998006,0.355002,0.351398,0.003604,0.870298,0.775506,0.998755,0.646629,0.001
4,0.403205,0.398783,0.004422,0.852116,0.99832,0.323428,0.320159,0.00327,0.88121,0.807562,0.99882,0.663184,0.001
5,0.384013,0.380076,0.003937,0.858664,0.998483,0.324668,0.320912,0.003757,0.879768,0.782688,0.998656,0.652767,0.001
6,0.367988,0.364385,0.003603,0.863672,0.998629,0.329518,0.326336,0.003182,0.875115,0.816262,0.998919,0.718091,0.001
7,0.355886,0.352439,0.003447,0.869181,0.998741,0.314204,0.310748,0.003456,0.885306,0.804362,0.998853,0.805291,0.001
8,0.347503,0.344142,0.003361,0.871784,0.998778,0.302412,0.299197,0.003215,0.88855,0.809147,0.99882,0.682879,0.001
9,0.339332,0.336223,0.003109,0.874611,0.998839,0.287422,0.284335,0.003087,0.894711,0.84126,0.998853,0.749805,0.001
10,0.332737,0.329477,0.00326,0.877424,0.998764,0.291922,0.288758,0.003164,0.892483,0.820559,0.998984,0.699081,0.001
11,0.326678,0.323913,0.002764,0.878856,0.99905,0.292894,0.290047,0.002846,0.892646,0.820035,0.998919,0.747926,0.001
12,0.322224,0.319271,0.002953,0.881211,0.999012,0.287333,0.283862,0.003471,0.894449,0.818806,0.998722,0.790425,0.001
13,0.316457,0.313706,0.002751,0.882938,0.998998,0.274875,0.271963,0.002912,0.900052,0.82587,0.999017,0.84964,0.001
14,0.311661,0.308944,0.002717,0.885063,0.999017,0.282381,0.279863,0.002517,0.896775,0.825913,0.999181,0.733067,0.001
