epoch,train_loss,train_species_loss,train_domain_loss,train_species_accuracy,train_domain_accuracy,val_loss,val_species_loss,val_domain_loss,val_species_accuracy,val_species_balanced_accuracy,val_domain_accuracy,val_domain_balanced_accuracy,lr,val_species_ba_D1,val_species_ba_D2,val_species_ba_D3,val_species_ba_D4,val_species_ba_D5
1,0.450145,0.43699,0.013154,0.839848,0.996855,0.401903,0.388222,0.013681,0.859025,0.599113,0.996526,0.436022,0.001,0.427128,0.346591,0.155556,0.25,0.791632
2,0.297186,0.293068,0.004118,0.893095,0.998381,0.311738,0.30412,0.007618,0.890123,0.745079,0.997608,0.647199,0.001,0.624211,0.755682,0.233333,1.0,0.847794
3,0.261523,0.258069,0.003454,0.905994,0.998755,0.295531,0.288134,0.007397,0.89399,0.785924,0.997641,0.605441,0.001,0.596185,0.659091,0.620635,0.0,0.887314
4,0.239205,0.236497,0.002708,0.912323,0.998994,0.290147,0.283009,0.007138,0.898152,0.794016,0.997772,0.626422,0.001,0.466473,1.0,0.25873,0.25,0.869302
5,0.22203,0.219449,0.002581,0.919236,0.999111,0.31467,0.305407,0.009262,0.892286,0.767954,0.997608,0.675734,0.001,0.523539,0.676136,0.498413,0.75,0.875606
6,0.210215,0.20796,0.002255,0.922779,0.999176,0.350462,0.34231,0.008152,0.882947,0.724635,0.997509,0.596651,0.001,0.469066,0.613636,0.612698,0.75,0.875902
7,0.199576,0.197378,0.002198,0.926322,0.999237,0.299822,0.286523,0.013299,0.896415,0.775033,0.997346,0.696322,0.001,0.524531,1.0,0.371429,0.5,0.86615
8,0.190412,0.188506,0.001906,0.929674,0.999368,0.336429,0.324798,0.011631,0.889173,0.752565,0.997936,0.65897,0.001,0.564146,0.767045,0.571429,0.5,0.854586
9,0.182896,0.180697,0.002198,0.932103,0.999326,0.32085,0.302737,0.018112,0.89707,0.750912,0.99728,0.608852,0.001,0.424288,0.738636,0.501587,0.25,0.87141
10,0.174429,0.17286,0.001569,0.934832,0.999504,0.292831,0.2798,0.013032,0.906148,0.765135,0.997378,0.615259,0.001,0.497948,0.5,0.204762,0.25,0.888386
11,0.168348,0.166911,0.001436,0.937027,0.999555,0.259532,0.245344,0.014188,0.914406,0.808312,0.997575,0.605888,0.001,0.597448,0.744318,0.628571,0.25,0.898185
12,0.162356,0.161066,0.00129,0.939943,0.99956,0.294375,0.280367,0.014008,0.903493,0.757181,0.997903,0.613459,0.001,0.409609,0.443182,0.592063,0.25,0.895203
13,0.155574,0.154157,0.001417,0.941399,0.999583,0.396212,0.384909,0.011303,0.865874,0.771694,0.997804,0.655448,0.001,0.481872,0.698864,0.501587,0.0,0.867247
14,0.149441,0.148315,0.001126,0.94409,0.999644,0.691236,0.666804,0.024431,0.813311,0.628282,0.996723,0.685099,0.001,0.439281,0.596591,0.471429,0.25,0.810708
15,0.145704,0.144493,0.00121,0.945003,0.999621,0.30236,0.275813,0.026547,0.91126,0.758702,0.996494,0.491046,0.001,0.544823,0.539773,0.485714,0.25,0.889789
16,0.141258,0.139957,0.0013,0.94666,0.999597,0.25479,0.241087,0.013702,0.919354,0.765159,0.997378,0.609803,0.001,0.448571,0.795455,0.27619,0.75,0.882848
