epoch,train_loss,train_species_loss,train_domain_loss,train_species_accuracy,train_domain_accuracy,val_loss,val_species_loss,val_domain_loss,val_species_accuracy,val_species_balanced_accuracy,val_domain_accuracy,val_domain_balanced_accuracy,lr
1,0.643325,0.629985,0.01334,0.76383,0.996082,0.418395,0.41272,0.005675,0.842214,0.669057,0.997673,0.523075,0.001
2,0.465022,0.458665,0.006356,0.828053,0.997529,0.362576,0.358898,0.003678,0.865579,0.780197,0.998525,0.63309,0.001
3,0.417654,0.412507,0.005147,0.846303,0.997936,0.315242,0.311419,0.003824,0.884749,0.769012,0.998493,0.721102,0.001
4,0.391853,0.387125,0.004727,0.855729,0.998132,0.305219,0.301704,0.003514,0.887108,0.806208,0.998755,0.658302,0.001
5,0.371111,0.367066,0.004045,0.86216,0.998366,0.284769,0.281512,0.003257,0.895792,0.802629,0.998755,0.727855,0.001
6,0.357316,0.353319,0.003997,0.868526,0.998446,0.291251,0.288222,0.003028,0.892057,0.816078,0.99882,0.74636,0.001
7,0.345778,0.342043,0.003735,0.87199,0.99868,0.27912,0.275849,0.003271,0.898185,0.844034,0.99882,0.731794,0.001
8,0.334843,0.331295,0.003548,0.876516,0.998694,0.279411,0.276102,0.003309,0.897562,0.814775,0.998951,0.675873,0.001
9,0.328236,0.325027,0.003209,0.879207,0.998718,0.256871,0.254103,0.002767,0.90464,0.834267,0.998886,0.704764,0.001
10,0.318627,0.315433,0.003194,0.881613,0.998797,0.267478,0.264574,0.002904,0.898676,0.817517,0.998984,0.754599,0.001
11,0.314151,0.311034,0.003118,0.88466,0.998769,0.264351,0.261645,0.002706,0.902805,0.822713,0.998919,0.818396,0.001
12,0.309837,0.306811,0.003026,0.885147,0.998839,0.258266,0.25524,0.003026,0.90523,0.849588,0.998722,0.82761,0.001
13,0.302873,0.299809,0.003064,0.887539,0.998867,0.270235,0.267142,0.003094,0.900413,0.828251,0.998853,0.821605,0.001
14,0.298936,0.29586,0.003075,0.888868,0.998914,0.26273,0.259559,0.003171,0.902412,0.838321,0.998886,0.748736,0.001
15,0.294218,0.2912,0.003018,0.891438,0.998905,0.27567,0.272918,0.002752,0.898316,0.836882,0.999115,0.848027,0.001
16,0.291236,0.288391,0.002845,0.892065,0.998881,0.242649,0.240181,0.002468,0.909916,0.843577,0.999214,0.794764,0.001
17,0.28678,0.284017,0.002763,0.893268,0.998937,0.262458,0.259761,0.002697,0.902182,0.838031,0.999017,0.820063,0.001
