epoch,train_loss,train_species_loss,train_domain_loss,train_species_accuracy,train_domain_accuracy,val_loss,val_species_loss,val_domain_loss,val_species_accuracy,val_species_balanced_accuracy,val_domain_accuracy,val_domain_balanced_accuracy,lr
1,0.643563,0.625602,0.01796,0.767467,0.995184,0.402128,0.395504,0.006624,0.852602,0.745317,0.997444,0.459607,0.001
2,0.472348,0.465704,0.006644,0.825759,0.99736,0.35311,0.3482,0.00491,0.870461,0.795484,0.998263,0.58434,0.001
3,0.429411,0.423979,0.005432,0.841673,0.997959,0.326629,0.322981,0.003649,0.880948,0.823721,0.998525,0.662052,0.001
4,0.404475,0.399907,0.004567,0.850964,0.998259,0.310093,0.306671,0.003422,0.88606,0.807201,0.998722,0.671431,0.001
5,0.388445,0.384077,0.004368,0.856539,0.998409,0.311183,0.307863,0.00332,0.885011,0.80833,0.998788,0.664969,0.001
6,0.373527,0.369576,0.003951,0.861997,0.998521,0.292829,0.289306,0.003523,0.891663,0.805007,0.998919,0.679247,0.001
7,0.363079,0.359186,0.003894,0.866593,0.998549,0.2905,0.287231,0.003269,0.893498,0.809329,0.998984,0.766431,0.001
8,0.357561,0.353747,0.003814,0.868035,0.998577,0.274154,0.270985,0.003168,0.898348,0.821243,0.998722,0.664898,0.001
9,0.347726,0.344111,0.003615,0.871297,0.998671,0.271715,0.26874,0.002976,0.899397,0.818854,0.998886,0.703789,0.001
10,0.339233,0.335907,0.003326,0.873974,0.998811,0.278754,0.275931,0.002823,0.897398,0.829577,0.998951,0.697099,0.001
11,0.33369,0.330597,0.003093,0.877026,0.99882,0.281558,0.278763,0.002795,0.897005,0.833321,0.999115,0.711871,0.001
12,0.32961,0.326407,0.003203,0.877649,0.998811,0.260911,0.258168,0.002743,0.903461,0.825852,0.998984,0.725252,0.001
13,0.324903,0.321794,0.003109,0.88027,0.998863,0.259295,0.256645,0.00265,0.906017,0.824914,0.999181,0.722311,0.001
14,0.320669,0.317653,0.003016,0.881304,0.998895,0.276162,0.273568,0.002593,0.899004,0.814853,0.999115,0.84923,0.001
15,0.314643,0.311834,0.002809,0.882938,0.998966,0.265467,0.26265,0.002817,0.902215,0.825374,0.998984,0.715597,0.001
16,0.313396,0.310286,0.00311,0.884173,0.998825,0.269186,0.266306,0.00288,0.901068,0.817523,0.998984,0.684945,0.001
