epoch,train_loss,train_species_loss,train_domain_loss,train_species_accuracy,train_domain_accuracy,val_loss,val_species_loss,val_domain_loss,val_species_accuracy,val_species_balanced_accuracy,val_domain_accuracy,val_domain_balanced_accuracy,lr
1,0.651939,0.637254,0.014685,0.763034,0.996138,0.446871,0.440324,0.006547,0.836512,0.756823,0.997215,0.536234,0.001
2,0.477983,0.471234,0.006749,0.824177,0.997355,0.363387,0.358216,0.005171,0.864759,0.764562,0.997608,0.477272,0.001
3,0.433666,0.428006,0.00566,0.841126,0.997711,0.347234,0.34221,0.005024,0.872329,0.769892,0.997608,0.488028,0.001
4,0.409101,0.4037,0.005402,0.849612,0.998015,0.337267,0.3333,0.003967,0.876032,0.768369,0.998656,0.676817,0.001
5,0.390719,0.385996,0.004722,0.856244,0.998212,0.316397,0.312626,0.003771,0.882947,0.753292,0.998656,0.639663,0.001
6,0.377378,0.373057,0.004322,0.861894,0.998441,0.303013,0.299476,0.003537,0.887829,0.787716,0.998656,0.665802,0.001
7,0.365128,0.360907,0.004221,0.864903,0.998469,0.303347,0.299858,0.00349,0.88914,0.808411,0.998656,0.670544,0.001
8,0.355645,0.351801,0.003844,0.868315,0.998483,0.30331,0.300198,0.003112,0.888616,0.825584,0.998886,0.692217,0.001
9,0.348428,0.344594,0.003834,0.870567,0.99861,0.29779,0.294827,0.002962,0.890385,0.812912,0.999082,0.710503,0.001
10,0.341061,0.337418,0.003643,0.873703,0.998689,0.297459,0.294036,0.003423,0.889599,0.788645,0.998689,0.674317,0.001
11,0.335917,0.332581,0.003335,0.875613,0.998755,0.272892,0.269497,0.003395,0.900511,0.828703,0.998624,0.677728,0.001
12,0.329569,0.326407,0.003162,0.878178,0.998732,0.267686,0.264646,0.00304,0.902903,0.810496,0.998886,0.702745,0.001
13,0.325572,0.322295,0.003278,0.878655,0.998806,0.274604,0.271605,0.002999,0.899725,0.81142,0.99905,0.69805,0.001
14,0.322707,0.319382,0.003325,0.881388,0.998891,0.291022,0.287837,0.003185,0.894351,0.806489,0.99882,0.707258,0.001
15,0.316105,0.31301,0.003095,0.883406,0.998863,0.271209,0.268448,0.002762,0.901003,0.833303,0.998951,0.707728,0.001
16,0.314183,0.311343,0.00284,0.883818,0.998947,0.261685,0.258427,0.003258,0.905951,0.822919,0.998853,0.700991,0.001
17,0.310052,0.307211,0.002841,0.885503,0.99905,0.257054,0.254558,0.002496,0.905787,0.807659,0.999115,0.732281,0.001
18,0.307544,0.304865,0.002678,0.886308,0.998998,0.289497,0.286688,0.002809,0.893498,0.82616,0.998919,0.751895,0.001
19,0.305327,0.302264,0.003063,0.886963,0.998937,0.271898,0.268998,0.0029,0.902019,0.828414,0.99905,0.787241,0.001
20,0.301486,0.298828,0.002658,0.888217,0.999064,0.266593,0.263618,0.002975,0.903297,0.823418,0.99905,0.733185,0.001
