epoch,train_loss,train_species_loss,train_domain_loss,train_species_accuracy,train_domain_accuracy,val_loss,val_species_loss,val_domain_loss,val_species_accuracy,val_species_balanced_accuracy,val_domain_accuracy,val_domain_balanced_accuracy,lr
1,0.617093,0.602845,0.014248,0.773762,0.996326,0.388804,0.38333,0.005474,0.855551,0.669907,0.99787,0.523129,0.001
2,0.449571,0.443622,0.005949,0.83351,0.997795,0.348526,0.344413,0.004113,0.871281,0.810995,0.998755,0.665449,0.001
3,0.408463,0.40374,0.004723,0.848779,0.998245,0.310028,0.306517,0.003512,0.886715,0.792986,0.998886,0.676676,0.001
4,0.3822,0.377994,0.004206,0.858641,0.998352,0.307267,0.304206,0.003061,0.886912,0.823033,0.998755,0.694741,0.001
5,0.362855,0.359011,0.003844,0.86591,0.9986,0.297173,0.293997,0.003176,0.892384,0.829715,0.998722,0.686283,0.001
6,0.3514,0.347681,0.003719,0.870361,0.998554,0.28091,0.277829,0.00308,0.898217,0.832222,0.999115,0.706699,0.001
7,0.339983,0.336492,0.003491,0.874428,0.998652,0.27345,0.270677,0.002774,0.899626,0.84131,0.99882,0.695913,0.001
8,0.330627,0.327211,0.003416,0.877316,0.998811,0.277747,0.275262,0.002485,0.894547,0.835339,0.999082,0.719341,0.001
9,0.321192,0.318091,0.0031,0.881304,0.998891,0.263176,0.26076,0.002415,0.904116,0.807028,0.999148,0.734364,0.001
10,0.316203,0.313164,0.00304,0.882451,0.998886,0.264946,0.262137,0.002809,0.903624,0.839186,0.999017,0.716864,0.001
11,0.310219,0.307281,0.002939,0.885353,0.998881,0.249928,0.247353,0.002575,0.909425,0.83096,0.999148,0.730269,0.001
12,0.303813,0.300946,0.002868,0.887019,0.998891,0.244743,0.242267,0.002475,0.911292,0.834539,0.999115,0.731078,0.001
13,0.299497,0.296581,0.002915,0.888611,0.998961,0.252465,0.249631,0.002834,0.909457,0.841164,0.999148,0.79677,0.001
14,0.293175,0.2903,0.002875,0.891321,0.998984,0.247878,0.245384,0.002494,0.910637,0.856336,0.999377,0.754506,0.001
15,0.288562,0.285958,0.002604,0.893825,0.999064,0.237575,0.23502,0.002555,0.913226,0.846308,0.999279,0.740292,0.001
16,0.287351,0.284781,0.002571,0.893184,0.999059,0.237006,0.234418,0.002589,0.913521,0.8407,0.999279,0.737627,0.001
17,0.282153,0.279507,0.002646,0.895384,0.999008,0.249075,0.246444,0.002631,0.908802,0.857538,0.999345,0.751448,0.001
18,0.278263,0.275735,0.002527,0.896212,0.999064,0.241958,0.239635,0.002322,0.914012,0.849546,0.999377,0.820292,0.001
19,0.274346,0.271778,0.002567,0.897986,0.999078,0.243982,0.241179,0.002803,0.90949,0.850981,0.999181,0.746102,0.001
20,0.272578,0.269957,0.002621,0.898454,0.999097,0.260695,0.258152,0.002542,0.90641,0.840726,0.99941,0.753209,0.001
21,0.268674,0.266384,0.002291,0.899938,0.999223,0.237735,0.235208,0.002527,0.914406,0.853035,0.999246,0.740614,0.001
22,0.265836,0.263479,0.002357,0.901113,0.999195,0.229252,0.22627,0.002983,0.918109,0.847616,0.999115,0.864828,0.001
