epoch,train_loss,train_species_loss,train_domain_loss,train_species_accuracy,train_domain_accuracy,val_loss,val_species_loss,val_domain_loss,val_species_accuracy,val_species_balanced_accuracy,val_domain_accuracy,val_domain_balanced_accuracy,lr
1,0.615954,0.599229,0.016726,0.775845,0.994678,0.406193,0.400044,0.006149,0.849882,0.718436,0.997477,0.501181,0.001
2,0.454569,0.448182,0.006386,0.832654,0.997529,0.344572,0.339873,0.004699,0.874001,0.776139,0.998165,0.636558,0.001
3,0.411556,0.406215,0.005341,0.848194,0.997969,0.30981,0.305514,0.004297,0.887698,0.78464,0.998329,0.620033,0.001
4,0.389016,0.384217,0.004799,0.85682,0.998235,0.296357,0.292354,0.004003,0.891139,0.795612,0.998591,0.656008,0.001
5,0.369546,0.365365,0.004181,0.86451,0.99846,0.293202,0.289047,0.004156,0.892122,0.781736,0.998591,0.669758,0.001
6,0.357055,0.353138,0.003917,0.868428,0.998558,0.282311,0.279158,0.003153,0.895268,0.804455,0.998886,0.683437,0.001
7,0.343765,0.340119,0.003646,0.872902,0.998666,0.264798,0.261935,0.002863,0.902871,0.814274,0.999082,0.708484,0.001
8,0.336445,0.332852,0.003593,0.87579,0.998727,0.266979,0.264135,0.002844,0.899364,0.832387,0.99905,0.775567,0.001
9,0.328718,0.325388,0.00333,0.878355,0.998858,0.253857,0.250818,0.003039,0.906377,0.824808,0.999115,0.708877,0.001
10,0.32173,0.318583,0.003147,0.881674,0.998839,0.257468,0.254512,0.002956,0.903231,0.822484,0.999115,0.716353,0.001
11,0.313406,0.310314,0.003092,0.883963,0.998923,0.252498,0.249507,0.002991,0.906967,0.829488,0.99905,0.707116,0.001
12,0.308384,0.305539,0.002844,0.886224,0.998947,0.264162,0.261433,0.002729,0.900872,0.814805,0.999115,0.716841,0.001
13,0.30408,0.301242,0.002838,0.887525,0.998923,0.252691,0.249871,0.00282,0.907983,0.823049,0.999115,0.725292,0.001
14,0.298995,0.296058,0.002937,0.88942,0.998956,0.246229,0.243217,0.003011,0.909523,0.847315,0.999017,0.698044,0.001
15,0.294843,0.292074,0.002769,0.891222,0.998998,0.24709,0.244353,0.002738,0.908278,0.840656,0.999017,0.715174,0.001
16,0.290633,0.28787,0.002763,0.891508,0.998984,0.244202,0.241313,0.002889,0.910998,0.844364,0.999214,0.718995,0.001
17,0.286447,0.283648,0.002799,0.893703,0.999022,0.24677,0.243839,0.002931,0.909785,0.854102,0.998984,0.694758,0.001
18,0.284499,0.281887,0.002612,0.894255,0.999073,0.239627,0.236857,0.002771,0.912603,0.841681,0.99905,0.701102,0.001
19,0.280918,0.278516,0.002402,0.895781,0.999129,0.248576,0.245612,0.002964,0.909064,0.834936,0.999181,0.73596,0.001
20,0.278176,0.275593,0.002583,0.896231,0.999069,0.232477,0.229364,0.003113,0.914111,0.854613,0.99905,0.716055,0.001
21,0.274924,0.272257,0.002667,0.897995,0.999026,0.236915,0.23412,0.002795,0.913324,0.857142,0.999181,0.779805,0.001
22,0.272785,0.270522,0.002263,0.89852,0.99919,0.23748,0.234353,0.003127,0.913947,0.848463,0.99905,0.709294,0.001
23,0.271309,0.268907,0.002402,0.899034,0.999172,0.236025,0.233249,0.002776,0.914274,0.8406,0.999279,0.739805,0.001
24,0.269316,0.266892,0.002424,0.900247,0.999045,0.24333,0.240651,0.002679,0.908933,0.826584,0.99905,0.716055,0.001
25,0.266757,0.26432,0.002438,0.900462,0.99919,0.233217,0.230363,0.002854,0.915127,0.861832,0.999017,0.706495,0.001
26,0.262624,0.260066,0.002558,0.902124,0.999097,0.236665,0.233817,0.002848,0.913947,0.846111,0.999214,0.728162,0.001
27,0.26128,0.259028,0.002252,0.902816,0.999176,0.232477,0.229477,0.003001,0.915815,0.847643,0.99905,0.788602,0.001
28,0.259034,0.256563,0.002471,0.903266,0.999125,0.229752,0.226981,0.002771,0.916241,0.860105,0.998886,0.685127,0.001
29,0.257702,0.255282,0.00242,0.904309,0.999097,0.229739,0.227107,0.002632,0.915421,0.854805,0.999214,0.731055,0.001
30,0.25491,0.25261,0.0023,0.904501,0.999176,0.239571,0.2366,0.002971,0.912505,0.824809,0.99905,0.769294,0.001
