epoch,train_loss,train_species_loss,train_domain_loss,train_species_accuracy,train_domain_accuracy,val_loss,val_species_loss,val_domain_loss,val_species_accuracy,val_species_balanced_accuracy,val_domain_accuracy,val_domain_balanced_accuracy,lr,val_species_ba_D1,val_species_ba_D2,val_species_ba_D3,val_species_ba_D4,val_species_ba_D5
1,0.456397,0.443161,0.013236,0.838575,0.996859,0.31495,0.304481,0.010469,0.887502,0.781226,0.996461,0.57022,0.001,0.699856,0.909091,0.328571,0.5,0.862721
2,0.297156,0.292872,0.004285,0.892889,0.998235,0.43527,0.42671,0.00856,0.850144,0.74876,0.997673,0.515016,0.001,0.673318,0.909091,0.380952,0.25,0.832672
3,0.261759,0.258354,0.003405,0.904955,0.998783,0.358635,0.344353,0.014282,0.875606,0.760062,0.997149,0.604874,0.001,0.500699,0.863636,0.31746,0.25,0.84556
4,0.239786,0.237063,0.002724,0.912833,0.999003,0.292558,0.275301,0.017256,0.899168,0.791096,0.997182,0.675896,0.001,0.601664,0.664773,0.314286,0.25,0.882081
5,0.223802,0.221328,0.002474,0.918187,0.999101,0.273234,0.258919,0.014315,0.907458,0.804028,0.99787,0.69087,0.001,0.69591,0.846591,0.568254,0.5,0.882556
6,0.210241,0.208103,0.002138,0.923121,0.999321,0.318419,0.308213,0.010206,0.892352,0.757004,0.998263,0.693225,0.001,0.653454,0.840909,0.698413,0.5,0.848852
7,0.199627,0.19762,0.002007,0.926819,0.999293,0.303063,0.290396,0.012667,0.896251,0.718433,0.997346,0.743876,0.001,0.45193,0.778409,0.430159,0.5,0.877874
8,0.189369,0.187593,0.001776,0.929795,0.999438,0.227634,0.218427,0.009207,0.920599,0.824472,0.998296,0.756612,0.001,0.58153,0.909091,0.750794,0.5,0.901439
9,0.181203,0.179546,0.001657,0.932421,0.999476,0.269734,0.25451,0.015223,0.910277,0.806162,0.997673,0.657902,0.001,0.589511,0.823864,0.706349,0.5,0.888833
10,0.174022,0.172491,0.001531,0.935702,0.999462,0.319326,0.305393,0.013933,0.900773,0.777309,0.997575,0.613624,0.001,0.517587,0.772727,0.387302,0.75,0.88573
11,0.167954,0.166191,0.001763,0.937439,0.999509,0.385215,0.365583,0.019632,0.872952,0.748582,0.997182,0.690362,0.001,0.531137,0.886364,0.626984,0.75,0.86307
12,0.160382,0.158883,0.001499,0.940257,0.999523,0.320729,0.306664,0.014065,0.895203,0.769586,0.997509,0.61908,0.001,0.537157,0.840909,0.530159,0.25,0.878123
13,0.153598,0.152321,0.001277,0.942639,0.999583,0.338621,0.327572,0.011049,0.890648,0.822479,0.998099,0.626289,0.001,0.541396,1.0,0.561905,0.25,0.884734
14,0.149747,0.148516,0.001231,0.943622,0.999583,0.296071,0.282209,0.013862,0.903395,0.797718,0.997706,0.716706,0.001,0.48805,0.909091,0.690476,0.25,0.878179
