epoch,train_loss,train_species_loss,train_domain_loss,train_species_accuracy,train_domain_accuracy,val_loss,val_species_loss,val_domain_loss,val_species_accuracy,val_species_balanced_accuracy,val_domain_accuracy,val_domain_balanced_accuracy,lr
1,0.609721,0.590383,0.019338,0.777277,0.994145,0.386446,0.381054,0.005392,0.856502,0.7593,0.998067,0.575936,0.001
2,0.447102,0.440966,0.006136,0.834039,0.997585,0.342249,0.338172,0.004077,0.874656,0.800323,0.998886,0.655063,0.001
3,0.406062,0.40122,0.004842,0.84971,0.998086,0.311702,0.308433,0.003269,0.885142,0.826838,0.998853,0.659481,0.001
4,0.380657,0.376266,0.004391,0.859872,0.998338,0.305963,0.302827,0.003136,0.885044,0.810505,0.998656,0.662681,0.001
5,0.363737,0.359655,0.004082,0.865648,0.99839,0.286212,0.283087,0.003125,0.893072,0.812183,0.998722,0.662005,0.001
6,0.351293,0.347184,0.004109,0.869706,0.998516,0.281936,0.279096,0.00284,0.895858,0.826113,0.998951,0.696871,0.001
7,0.337551,0.334061,0.00349,0.874948,0.998638,0.269542,0.266566,0.002976,0.90002,0.837424,0.999017,0.689592,0.001
8,0.329085,0.325741,0.003344,0.878089,0.998755,0.267997,0.265425,0.002572,0.901494,0.801609,0.99905,0.699025,0.001
9,0.320926,0.317728,0.003197,0.881117,0.99882,0.259567,0.25694,0.002627,0.90464,0.830789,0.999115,0.699324,0.001
10,0.313657,0.31048,0.003177,0.88357,0.998844,0.266869,0.264188,0.002682,0.901658,0.835867,0.998984,0.69967,0.001
11,0.309158,0.306151,0.003007,0.885573,0.998863,0.288716,0.285844,0.002872,0.894121,0.840139,0.999115,0.712099,0.001
12,0.303806,0.300644,0.003163,0.888227,0.998853,0.261059,0.258472,0.002588,0.90274,0.845034,0.999082,0.714858,0.001
13,0.298021,0.29546,0.002561,0.889055,0.999162,0.256894,0.254667,0.002227,0.905296,0.845252,0.999377,0.852634,0.001
14,0.293067,0.290319,0.002748,0.89126,0.999026,0.250035,0.247796,0.002239,0.908048,0.851032,0.999312,0.738121,0.001
15,0.292344,0.289588,0.002756,0.891789,0.998961,0.249529,0.246966,0.002563,0.908114,0.851885,0.999082,0.696266,0.001
16,0.286652,0.283803,0.002849,0.893399,0.998961,0.24454,0.242205,0.002335,0.910735,0.836684,0.999082,0.703027,0.001
17,0.28347,0.280917,0.002552,0.894855,0.999064,0.235186,0.233088,0.002099,0.913128,0.83131,0.999246,0.727681,0.001
18,0.281782,0.279111,0.002671,0.895117,0.999059,0.238465,0.236465,0.001999,0.912833,0.849264,0.999312,0.746471,0.001
19,0.277373,0.274649,0.002723,0.896657,0.999045,0.250134,0.247837,0.002298,0.907852,0.839837,0.999345,0.749042,0.001
20,0.274695,0.271935,0.00276,0.898066,0.998975,0.237071,0.235135,0.001936,0.913914,0.838783,0.99941,0.755715,0.001
