epoch,train_loss,train_species_loss,train_domain_loss,train_species_accuracy,train_domain_accuracy,val_loss,val_species_loss,val_domain_loss,val_species_accuracy,val_species_balanced_accuracy,val_domain_accuracy,val_domain_balanced_accuracy,lr,val_species_ba_D1,val_species_ba_D2,val_species_ba_D3,val_species_ba_D4,val_species_ba_D5
1,0.450964,0.436956,0.014007,0.840054,0.995984,0.365628,0.356171,0.009456,0.869642,0.626272,0.996723,0.431164,0.001,0.379464,0.494318,0.131746,0.75,0.841993
2,0.297425,0.292728,0.004696,0.892547,0.998118,0.351771,0.339123,0.012649,0.875442,0.689435,0.996821,0.476745,0.001,0.447037,0.130682,0.206349,0.75,0.859731
3,0.260592,0.257133,0.003459,0.904895,0.998755,0.330224,0.314182,0.016042,0.889664,0.688033,0.996821,0.60614,0.001,0.302624,0.573864,0.242857,0.75,0.866275
4,0.240504,0.237458,0.003046,0.911784,0.998947,0.281671,0.270865,0.010806,0.901068,0.764006,0.99728,0.550055,0.001,0.52027,0.630682,0.495238,0.75,0.878351
5,0.221608,0.218933,0.002676,0.919615,0.998994,0.301745,0.291817,0.009928,0.895956,0.718266,0.99787,0.730472,0.001,0.562049,0.852273,0.614286,0.25,0.893665
6,0.209329,0.207229,0.002101,0.923411,0.999298,0.282822,0.269742,0.01308,0.905263,0.65161,0.997116,0.529756,0.001,0.339038,0.744318,0.522222,0.5,0.859983
7,0.200427,0.198256,0.002171,0.926599,0.999246,0.524981,0.51452,0.010461,0.831957,0.719212,0.997968,0.583695,0.001,0.583965,0.732955,0.622222,0.5,0.8288
8,0.189438,0.187676,0.001762,0.929646,0.999354,0.487289,0.476742,0.010547,0.844639,0.754592,0.997804,0.723899,0.001,0.593457,0.954545,0.534921,0.25,0.841528
9,0.182437,0.180556,0.001882,0.931986,0.999401,0.254399,0.24201,0.012388,0.913095,0.733573,0.997444,0.702572,0.001,0.367154,0.909091,0.633333,0.0,0.890569
10,0.174446,0.172701,0.001745,0.935295,0.999415,0.872455,0.859613,0.012842,0.743053,0.63455,0.997444,0.721981,0.001,0.478423,0.875,0.680952,0.0,0.761269
11,0.167037,0.165475,0.001562,0.937593,0.99948,0.426232,0.415237,0.010995,0.853552,0.733151,0.997739,0.723987,0.001,0.482233,0.806818,0.639683,0.5,0.859196
12,0.161733,0.160124,0.001609,0.939241,0.999509,0.537621,0.51807,0.019551,0.835988,0.648812,0.997444,0.698577,0.001,0.410714,0.909091,0.557143,0.5,0.844497
13,0.155084,0.153419,0.001665,0.941984,0.99949,0.248097,0.236787,0.011309,0.917551,0.708665,0.997444,0.553255,0.001,0.503991,0.755682,0.657143,0.5,0.903197
14,0.150561,0.149402,0.00116,0.943299,0.999555,0.271743,0.260468,0.011275,0.910801,0.746864,0.997608,0.650197,0.001,0.403635,0.818182,0.609524,0.75,0.891459
