species,species_short,BA_seen_mean,BA_seen_std,BA_unseen_mean,BA_unseen_std,DSG_mean,DSG_std
Aedes aegypti,Ae.aeg,0.917096,0.010925,0.027083,0.052694,0.890012,0.056065
Aedes albopictus,Ae.alb,0.851291,0.014785,0.073986,0.109583,0.777305,0.114493
Culex quinquefasciatus,Cx.qui,0.960836,0.007923,0.001488,0.002399,0.959348,0.00767
Anopheles gambiae,An.gam,0.919114,0.015659,0.000122,0.000367,0.918992,0.015855
Anopheles arabiensis,An.ara,0.718836,0.043547,0.007418,0.014953,0.711418,0.054586
Anopheles dirus,An.dir,,,0.005,0.015,,
Culex pipiens,Cx.pip,0.9258,0.02422,0.811765,0.028516,0.114035,0.038237
Anopheles minimus,An.min,,,0.225253,0.061117,,
Anopheles stephensi,An.ste,,,0.381081,0.150698,,
