seed,run_dir,epochs_ran,best_epoch,best_val_species_ba,final_val_species_ba,val_loss,val_species_accuracy,val_species_balanced_accuracy,val_domain_accuracy,test_species_accuracy,test_species_balanced_accuracy,test_BA_seen,test_BA_unseen,test_DSG,test_domain_accuracy,test_loss
42,outputs/MTRCNN_seed42_B64_E100_earlystop_min10_pati5,19,14,0.85193,0.8481610748502943,0.2438504292816528,0.9104076623916626,0.8519298169347975,0.9990824460983276,0.788183867931366,0.5364148451222314,0.8812793890635172,0.15574710920918733,0.7255322798543299,0.9068596959114075,1.7203218045391382
1024,outputs/MTRCNN_seed1024_B64_E100_earlystop_min10_pati5,19,14,0.850772,0.8435381518469917,0.24642560617324882,0.9104076623916626,0.8507721192306943,0.9990824460983276,0.7863100171089172,0.5519564482900832,0.886563370625178,0.16722739073965284,0.7193359798855251,0.8854392766952515,1.7270255904472198
1234,outputs/MTRCNN_seed1234_B64_E100_earlystop_min10_pati5,38,33,0.868112,0.8619149989551969,0.23362678254413702,0.9154542088508606,0.8681116567717658,0.9991807341575623,0.7876694798469543,0.5261237339840995,0.8988515834013621,0.14671875841708648,0.7521328249842756,0.9129955768585205,1.8491296187672164
2023,outputs/MTRCNN_seed2023_B64_E100_earlystop_min10_pati5,44,39,0.861484,0.8531124393145243,0.24409877144386136,0.9117184281349182,0.8614841037326388,0.9991480112075806,0.792629599571228,0.5481270046697723,0.8886620998382568,0.20853372083769905,0.6801283790005578,0.8966822028160095,1.8084658217457836
2024,outputs/MTRCNN_seed2024_B64_E100_earlystop_min10_pati5,16,11,0.850071,0.8358907765812345,0.2877062172481837,0.8946126699447632,0.8500713573561774,0.9992790818214417,0.777198076248169,0.5413828326596154,0.8607005178928375,0.1843928959634569,0.6763076219293807,0.9502516984939575,1.630679899024378
2048,outputs/MTRCNN_seed2048_B64_E100_earlystop_min10_pati5,30,25,0.864304,0.8442925545904372,0.24531840440171973,0.910309374332428,0.8643035358852811,0.9990824460983276,0.7830767631530762,0.5519091669056151,0.888262540102005,0.18394103562200648,0.7043215044799985,0.9449241161346436,1.5573694449390965
3407,outputs/MTRCNN_seed3407_B64_E100_earlystop_min10_pati5,14,8,0.834317,0.8149811426798502,0.2769596622895151,0.8976930379867554,0.834317492114173,0.998984158039093,0.7722746729850769,0.506582171552711,0.8707049190998077,0.15076767803273267,0.719937241067075,0.9353712797164917,1.4197785173714899
4096,outputs/MTRCNN_seed4096_B64_E100_earlystop_min10_pati5,23,18,0.833371,0.8287980291578505,0.2753034758630338,0.8985122442245483,0.8333712816238403,0.9991807341575623,0.7766469717025757,0.5470465992887815,0.8766004542509714,0.1843138701450597,0.6922865841059117,0.9325054287910461,1.394571783001451
8192,outputs/MTRCNN_seed8192_B64_E100_earlystop_min10_pati5,14,7,0.853628,0.8013713823424445,0.2867849576594757,0.8951369524002075,0.8536278075642056,0.9992135167121887,0.7738545536994934,0.5473046509755982,0.8688189486662546,0.20048823042048347,0.6683307182457712,0.9546239376068115,1.663393849338209
10086,outputs/MTRCNN_seed10086_B64_E100_earlystop_min10_pati5,19,14,0.854042,0.8507486912939284,0.24328855862731294,0.9118494987487793,0.8540423578686185,0.9992790818214417,0.7891023755073547,0.5543317033184899,0.8853757381439209,0.1690028045947353,0.7163729335491856,0.9036263823509216,1.5959348747411124
