epoch,train_loss,train_species_loss,train_domain_loss,train_species_accuracy,train_domain_accuracy,val_loss,val_species_loss,val_domain_loss,val_species_accuracy,val_species_balanced_accuracy,val_domain_accuracy,val_domain_balanced_accuracy,lr
1,0.656684,0.641096,0.015589,0.760736,0.995745,0.409076,0.402905,0.006171,0.848801,0.651743,0.997477,0.453498,0.001
2,0.47544,0.468155,0.007286,0.824973,0.997224,0.380303,0.375106,0.005196,0.857616,0.781649,0.99823,0.57309,0.001
3,0.429219,0.423436,0.005783,0.842296,0.997711,0.3553,0.350551,0.004749,0.867447,0.730233,0.99823,0.585896,0.001
4,0.401121,0.396016,0.005104,0.853127,0.998067,0.315168,0.310377,0.004791,0.883799,0.762682,0.998067,0.55445,0.001
5,0.383684,0.379127,0.004558,0.858449,0.998249,0.288298,0.283794,0.004504,0.894482,0.786918,0.998558,0.63894,0.001
6,0.370076,0.365783,0.004293,0.863626,0.998381,0.286472,0.282663,0.00381,0.89399,0.805158,0.998624,0.624646,0.001
7,0.359209,0.355205,0.004005,0.867609,0.998507,0.285809,0.281951,0.003858,0.896055,0.818429,0.998656,0.646494,0.001
8,0.349159,0.345663,0.003496,0.870586,0.998657,0.289026,0.285649,0.003378,0.892876,0.809008,0.998919,0.684545,0.001
9,0.343179,0.339679,0.003501,0.873211,0.998694,0.28168,0.278825,0.002855,0.896349,0.808449,0.999082,0.712681,0.001
10,0.335292,0.332008,0.003284,0.876095,0.998764,0.307922,0.304679,0.003243,0.888321,0.790783,0.998656,0.633719,0.001
11,0.330442,0.327194,0.003248,0.877831,0.998853,0.268389,0.265137,0.003252,0.903526,0.819084,0.998984,0.694599,0.001
12,0.324559,0.321443,0.003116,0.880134,0.998877,0.264733,0.261888,0.002845,0.902248,0.821808,0.998984,0.696777,0.001
13,0.320903,0.317723,0.00318,0.882311,0.998802,0.270816,0.268172,0.002644,0.90133,0.823957,0.999181,0.723514,0.001
14,0.316908,0.313574,0.003334,0.883144,0.998718,0.257074,0.254267,0.002806,0.907131,0.840842,0.998951,0.693003,0.001
15,0.31163,0.308507,0.003124,0.885287,0.99883,0.266148,0.263291,0.002857,0.902805,0.84017,0.999082,0.776777,0.001
16,0.308088,0.305149,0.002939,0.886397,0.998881,0.25013,0.247386,0.002744,0.90913,0.838399,0.999082,0.704717,0.001
17,0.304225,0.301171,0.003055,0.888292,0.998816,0.256976,0.25444,0.002536,0.905689,0.836682,0.999181,0.718443,0.001
18,0.30442,0.301554,0.002866,0.887988,0.998966,0.267852,0.265029,0.002823,0.903198,0.829788,0.999017,0.696195,0.001
19,0.299679,0.297041,0.002638,0.8895,0.99905,0.258346,0.254779,0.003567,0.905722,0.848296,0.998951,0.679481,0.001
20,0.297356,0.294689,0.002667,0.889996,0.999083,0.24303,0.240141,0.002889,0.912407,0.848313,0.998984,0.695802,0.001
21,0.294651,0.291774,0.002877,0.891606,0.998928,0.243789,0.240618,0.003171,0.910375,0.85265,0.998984,0.699898,0.001
22,0.290683,0.287941,0.002742,0.892294,0.999022,0.258115,0.255382,0.002733,0.906082,0.847582,0.999214,0.714741,0.001
23,0.288851,0.286154,0.002698,0.892547,0.999036,0.246839,0.243776,0.003063,0.910866,0.845509,0.999017,0.701981,0.001
24,0.286433,0.28387,0.002563,0.893862,0.99905,0.264505,0.261729,0.002776,0.905623,0.843667,0.999214,0.718836,0.001
25,0.284329,0.281704,0.002625,0.894522,0.999083,0.248748,0.246374,0.002374,0.908671,0.853735,0.999279,0.737728,0.001
26,0.28479,0.282311,0.002479,0.894653,0.999012,0.2582,0.255331,0.00287,0.906967,0.839271,0.998984,0.693396,0.001
27,0.282974,0.28041,0.002565,0.895421,0.999026,0.240663,0.238287,0.002377,0.913619,0.86403,0.999246,0.724788,0.001
28,0.28051,0.277789,0.00272,0.896287,0.999031,0.252383,0.24978,0.002603,0.909851,0.840572,0.999246,0.727681,0.001
29,0.279377,0.276692,0.002684,0.895992,0.998947,0.231558,0.228905,0.002653,0.915847,0.852658,0.999115,0.712099,0.001
30,0.278454,0.276002,0.002452,0.897382,0.999087,0.236716,0.234152,0.002563,0.913652,0.835275,0.999279,0.737728,0.001
31,0.275222,0.272659,0.002563,0.898365,0.999022,0.238667,0.235737,0.002929,0.912702,0.854442,0.99905,0.688884,0.001
32,0.27454,0.272103,0.002437,0.898197,0.999148,0.243105,0.240217,0.002888,0.912702,0.846787,0.999115,0.699324,0.001
