epoch,train_loss,train_species_loss,train_domain_loss,train_species_accuracy,train_domain_accuracy,val_loss,val_species_loss,val_domain_loss,val_species_accuracy,val_species_balanced_accuracy,val_domain_accuracy,val_domain_balanced_accuracy,lr
1,0.63952,0.619711,0.019809,0.768249,0.994533,0.417894,0.411955,0.005939,0.848112,0.710922,0.997641,0.524701,0.001
2,0.458483,0.452146,0.006337,0.830543,0.997561,0.346766,0.342207,0.004559,0.874394,0.781205,0.998624,0.654451,0.001
3,0.413787,0.408642,0.005144,0.847388,0.998039,0.319239,0.315356,0.003882,0.882652,0.797444,0.998656,0.65566,0.001
4,0.387495,0.382762,0.004733,0.856839,0.998156,0.296934,0.293634,0.0033,0.890549,0.808989,0.998788,0.689575,0.001
5,0.369939,0.365752,0.004187,0.86415,0.998348,0.29296,0.289415,0.003545,0.893335,0.825685,0.99846,0.681549,0.001
6,0.358869,0.354877,0.003992,0.867777,0.998455,0.283493,0.280551,0.002943,0.895629,0.812856,0.998951,0.687831,0.001
7,0.344806,0.34108,0.003726,0.872725,0.998558,0.274421,0.271694,0.002727,0.899299,0.842793,0.999115,0.712099,0.001
8,0.337412,0.334071,0.003341,0.875547,0.998769,0.266798,0.263977,0.002821,0.903624,0.816676,0.99905,0.705039,0.001
9,0.329823,0.326472,0.003351,0.878341,0.998746,0.263874,0.261001,0.002873,0.902608,0.834045,0.999148,0.718924,0.001
10,0.322314,0.319026,0.003288,0.88092,0.998806,0.271527,0.268494,0.003033,0.900413,0.83559,0.999017,0.686541,0.001
11,0.315731,0.312836,0.002895,0.883757,0.998933,0.297576,0.294818,0.002757,0.890975,0.823377,0.999148,0.723121,0.001
12,0.312745,0.309551,0.003194,0.884904,0.998886,0.25837,0.255726,0.002644,0.905918,0.835897,0.999082,0.71596,0.001
13,0.306683,0.303668,0.003015,0.887108,0.998849,0.258753,0.256089,0.002664,0.905656,0.839318,0.99905,0.715567,0.001
14,0.303088,0.300362,0.002726,0.88788,0.998947,0.256471,0.253874,0.002597,0.906115,0.828238,0.999181,0.731864,0.001
