epoch,train_loss,train_species_loss,train_domain_loss,train_species_accuracy,train_domain_accuracy,val_loss,val_species_loss,val_domain_loss,val_species_accuracy,val_species_balanced_accuracy,val_domain_accuracy,val_domain_balanced_accuracy,lr,val_species_ba_D1,val_species_ba_D2,val_species_ba_D3,val_species_ba_D4,val_species_ba_D5
1,0.449956,0.436932,0.013024,0.840176,0.996705,0.371638,0.359207,0.012431,0.869282,0.625698,0.996723,0.583734,0.001,0.231647,0.465909,0.103175,0.5,0.841829
2,0.295108,0.29106,0.004049,0.893347,0.998512,0.345366,0.332696,0.01267,0.880194,0.707443,0.997116,0.561053,0.001,0.327426,0.778409,0.334921,0.5,0.85733
3,0.260872,0.257644,0.003228,0.904558,0.998839,0.295135,0.275294,0.019841,0.900872,0.631171,0.9961,0.5357,0.001,0.22619,0.647727,0.515873,0.5,0.852492
4,0.239706,0.237001,0.002705,0.912884,0.999059,0.308376,0.297382,0.010995,0.893433,0.721861,0.996985,0.631997,0.001,0.33277,0.625,0.477778,0.75,0.850916
5,0.223485,0.221128,0.002357,0.918702,0.999148,0.289198,0.283329,0.00587,0.897038,0.762463,0.997968,0.694668,0.001,0.596636,0.636364,0.598413,0.0,0.88075
6,0.209055,0.207014,0.00204,0.923481,0.999331,0.290709,0.276343,0.014366,0.901396,0.711141,0.997509,0.68593,0.001,0.287541,0.551136,0.560317,0.0,0.853496
7,0.19937,0.197585,0.001785,0.926622,0.999415,0.288227,0.272544,0.015683,0.902936,0.771595,0.997083,0.55188,0.001,0.373219,0.420455,0.519048,0.25,0.889864
8,0.190912,0.188873,0.002039,0.929257,0.999368,0.378443,0.369958,0.008485,0.866496,0.760413,0.997542,0.499175,0.001,0.513348,0.448864,0.431746,0.0,0.866177
9,0.181238,0.179771,0.001467,0.932885,0.999523,0.259323,0.248536,0.010787,0.909752,0.769473,0.99692,0.460534,0.001,0.407445,0.545455,0.553968,0.25,0.878603
10,0.175494,0.174043,0.001451,0.935206,0.999513,0.463077,0.451917,0.011159,0.853519,0.743911,0.997477,0.581533,0.001,0.506403,0.590909,0.565079,0.5,0.846586
11,0.168511,0.167238,0.001274,0.936961,0.999644,0.290035,0.27921,0.010825,0.906475,0.748843,0.997575,0.59191,0.001,0.481264,0.380682,0.630159,0.25,0.890987
12,0.161456,0.159967,0.00149,0.940135,0.999555,0.31143,0.300894,0.010536,0.89458,0.802477,0.996756,0.622325,0.001,0.445639,0.363636,0.673016,0.25,0.876003
13,0.155118,0.153937,0.001181,0.941656,0.99963,0.316722,0.29759,0.019132,0.902576,0.700133,0.996821,0.496796,0.001,0.309118,0.176136,0.533333,0.5,0.873421
14,0.152429,0.150867,0.001562,0.942981,0.999537,0.278607,0.266074,0.012533,0.907688,0.772707,0.997378,0.69603,0.001,0.500879,0.397727,0.620635,0.75,0.901081
15,0.145993,0.144985,0.001008,0.9446,0.999686,0.28343,0.272462,0.010968,0.907589,0.779643,0.99787,0.643547,0.001,0.428278,0.221591,0.611111,0.75,0.889185
16,0.141977,0.140878,0.001099,0.946566,0.999626,0.326166,0.310763,0.015403,0.904509,0.720848,0.997018,0.469936,0.001,0.463249,0.198864,0.619048,0.75,0.854242
17,0.138007,0.136794,0.001213,0.94746,0.999612,0.329834,0.318516,0.011318,0.899102,0.733044,0.997378,0.512161,0.001,0.365124,0.551136,0.669841,0.0,0.875751
